geo_label_city,date_label,strata_race_label,strata_sex_label,Cancer | All Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Injury Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Diabetes and Obesity | Diabetes Deaths,Life Expectancy at Birth | Life Expectancy,Mental Health | Suicide,Respiratory Infection | COVID-19 Deaths,Respiratory Infection | Pneumonia or Influenza Deaths,Sexually Transmitted Disease | HIV-Related Deaths,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths
Austin,2017,White,Male,153.1478793,12.54336154,34.5356574,208.0703886,162.3282272,2.497427123,762.9815242,16.98266884,90.64614253,10.94178184,5370.050958,14.83481726,79.70113926,25.62093648,,11.3591826,2.586169162,21.87774307,16.09193127
Austin,2018,Asian/PI,Female,73.03765316,,,77.30759665,45.76395583,,287.0596385,,13.25537374,,1917.241938,,,,,,,,
Austin,2018,Asian/PI,Male,110.7608095,,29.02594767,145.3405789,104.7091848,,596.3439508,,50.07968759,,2672.56264,,,7.85904451,,,,,
Austin,2018,Black,Female,,11.61639627,33.49259521,220.5703057,165.280753,,681.958906,,40.29117672,,6358.908676,,82.37077589,,,16.72423824,,15.40422844,
Austin,2018,Black,Male,265.6481909,32.27689509,67.69843279,348.8301656,279.7096777,13.76920502,1105.318106,18.186218,115.0206268,36.16525266,11178.23347,44.81215796,73.51997876,13.67011393,,13.4491589,,23.39806793,
Austin,2018,Hispanic,Female,75.68007274,6.701082098,9.924656069,109.9886457,65.53119509,,419.9901832,,27.4244493,7.161614546,2901.411393,18.20149668,85.58108961,,,7.435960911,,2.948211014,
Austin,2018,Hispanic,Male,125.0190662,15.51054465,17.81489286,166.2478178,120.2061217,6.086980483,637.1340375,9.071018164,74.49750812,18.17286571,5538.641195,35.58162048,81.30199288,9.085463679,,7.79905593,3.799667393,9.63854257,4.790981949
Austin,2018,White,Female,,10.38680052,21.39571149,138.3290569,96.27372865,,551.7309549,2.802194808,50.25200936,4.518489246,3130.981135,,82.9762674,10.87025705,,10.1484787,,11.45002795,7.221685363
Austin,2018,White,Male,144.6535195,11.51761811,29.03852299,,,3.210607297,721.7208632,17.29213911,90.54606189,9.422186825,5605.317342,17.31525151,80.5399159,26.34157935,,11.04049561,2.711492477,23.35963847,16.19958489
Austin,2019,Asian/PI,Female,66.28302603,,,67.45841814,35.20381114,,261.9717907,,18.48688188,,2118.590622,,,,,,,,
