,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Austin,2011,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20579046,21.33956386,,,,,,,,,,,50.17751479,0.992924528,,,,,,19801.0,,28.60142797,43.02884615,,,50.16820858,7.829457364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2011,White,Both,,,,,,6.872830937,84.84131923,,11.99804114,154.7615585,21.78891126,11.91068317,37.39826445,17.99304759,188.4665734,140.321276,,2.119379116,,710.1527407,10.45584884,,75.88254205,,8.709523099,0.486660277,5096.044359,,,,13.29326828,,,,8.726448065,59.29115765,,,,,,,,,,,52.15281287,0.917442119,,,,,,44166.0,,11.1761529,5.808207008,,,19.66626083,5.62352146,,,,,,,,,80.69948646,,,,18.76316311,,,,,,,,,,,,,,,,,,,,,,,,,10.84660586,,,1.5032719,348.6,,,,,,,19.57379054,7.017534748,,,,,,,
Austin,2011,White,Female,,,,,,,,,,138.0355787,,10.86440268,28.97162728,,151.265635,104.8747224,,1.588941298,,612.0382078,2.637458713,,50.78774535,,4.764971531,,3818.693508,,,,11.25096289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67058606,,,,7.956069061,,,,,,,,,,,,,,,,,,,,,,,,,10.72930025,,,,,,,,,,,15.118546,4.650212014,,,,,,,
Austin,2011,White,Male,,,,,,,,,,180.1716958,,12.93206384,49.48489137,,238.2303727,189.2742892,,2.626464997,,837.9315666,18.9645885,,102.819476,,12.63132901,,6347.941352,,,,15.62922347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.47511674,,,,30.31782951,,,,,,,,,,,,,,,,,,,,,,,,,11.4753364,,,2.817717763,,,,,,,,23.88386943,9.364077956,,,,,,,
Austin,2012,All,Both,1.458997071,2.506039282,2.18579235,31.96721311,,7.89372167,72.05939347,,38.36715616,147.1244425,21.71184809,12.0441725,31.29665916,18.00300475,181.977635,132.3757854,23.4,3.026070084,408.8120917,684.6948663,8.45881039,,68.20744624,16.82868955,9.183589892,0.695747522,4920.523665,4.16935343,25.3,7.7,17.29958833,,,,8.49604215,44.78169182,42.98900322,63.14366606,,,41.25,28.32369942,50.90238095,7.769230769,,,45.06290051,1.21912036,8.145933655,,0.003340583,0.4876,51.89652475,31387.0,37.98052897,19.39894657,27.23602876,,10.18525051,32.72458,7.334555582,19.08120494,,,,,1.927904408,10.1397925,6.288232493,80.36717788,10.1,,,12.87254119,,,62.4,20.3,,,,,,22.04468091,2685.086346,6.921902795,10.98588611,51.36841684,40.61898946,57.92412466,49.97393478,44.16342767,,,,,50.0,3.4,10.64766581,,,2.50041098,450.8,618.5,152.9,12.5,0.0,21.4,14.1,15.69225375,4.584204798,,,,71.70185205,7.104797372,,4.673878794
Austin,2012,All,Female,,,,,,,,,,125.9314883,,10.0596556,24.871258,,143.1146835,96.8234481,,2.026344483,,577.6089002,2.605125702,,43.88291038,,3.611739941,,3665.71229,,,,16.07575197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2135191,,,,5.818541565,,,,,,,,,,,,,,,,,,,,,,,,,10.12727691,,,1.012651841,121.1,,,,,,,11.16146548,2.635376687,,,,,,,
Austin,2012,All,Male,,,,,,,,,,179.5597819,,14.71450598,40.72278767,,238.7645226,184.8739733,,3.986555067,,831.5252262,15.09871373,,95.37158105,,15.21571252,,6185.547362,,,,18.4084847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.32175576,,,,20.86608578,,,,,,,,,,,,,,,,,,,,,,,,,11.63260397,,,3.998293672,777.7,,,,,,,20.02693682,6.523956392,,,,,,,
Austin,2012,Asian/PI,Both,,,,,,9.134045077,82.92101341,,3.839066339,123.208431,22.44944925,,16.25535968,,144.469644,89.97281466,,,,509.6216769,,,21.92220055,,,,2499.317653,,,,,,,,2.973168963,70.57371383,,,,,,,,,,,41.01678708,1.438026162,,,,,,31998.0,,16.84774675,7.837837838,,,18.85036711,6.419018225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,54.4,,,,,,,,,,,,,,,
Austin,2012,Asian/PI,Female,,,,,,,,,,113.7519202,,,,,105.6240605,63.53169085,,,,463.0506898,,,,,,,2013.085946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2012,Asian/PI,Male,,,,,,,,,,137.8968535,,,,,216.3289768,134.9958126,,,,596.5970299,,,22.89458254,,,,3048.157932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2012,Black,Both,,,,,,14.47102912,67.03392288,,60.96582705,194.1265581,44.28433098,14.94586639,48.26300832,33.48153454,291.7200033,217.6626223,,7.928505934,,897.0170816,9.079522452,,79.9346306,64.9266329,15.53022967,4.656013707,9384.397512,,,,30.74574324,,,,16.22406961,21.48810121,,,,,,,,,,,31.96699494,2.128226478,,,,,,19782.0,,27.08774905,40.98975703,,,36.02018503,12.96263762,,,,,,,,,75.82067117,,,,8.848003259,,,,,,,,,,,,,,,,,,,,,,,32.0,,9.186574067,,,12.22849008,1230.3,,,,,,,25.11766452,,,,,,,,
Austin,2012,Black,Female,,,,,,,,,,171.6166275,,12.65453308,35.64365176,,254.0492642,179.0364252,,,,754.7887879,,,38.45043961,,,,7264.682898,,,,28.68442129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.83185279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49323931,,,,,,,,
Austin,2012,Black,Male,,,,,,,,,,239.1025569,,19.66242475,66.77035671,,350.6150549,278.0308404,,9.976137266,,1113.982678,16.11696415,,128.2846958,,30.49299066,,11552.29289,,,,34.35218382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7513485,,,,16.20100905,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91245876,,,,,,,,38.56731993,,,,,,,,
Austin,2012,Hispanic,Both,,,,,,7.4393531,58.79582002,,70.02936813,132.6164974,13.9976978,16.45732139,17.02985039,12.80946816,157.0770276,104.562671,,3.94585833,,627.3372645,3.660745937,,53.42393661,20.48891678,10.34754074,0.356257811,4400.919039,,,,30.5696974,,,,7.358185112,18.17644689,,,,,,,,,,,34.62873493,1.887775144,,,,,,16570.0,,29.58054448,40.71502173,,,57.64453585,9.00269075,,,,,,,,,81.02969536,,,,4.065500505,,,,,,,,,,,,,,,,,,,,,,,38.0,,8.117404912,,,2.403988104,468.2,,,,,,,8.515144837,3.795374709,,,,,,,
Austin,2012,Hispanic,Female,,,,,,,,,,111.6599422,,11.89339215,12.38909763,,128.7243077,74.8201624,,3.05755132,,528.4497165,,,35.80670004,,2.797862903,,3186.684141,,,,29.62574205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.15248709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.085271342,,,,,,,,,,,6.201271295,,,,,,,,
Austin,2012,Hispanic,Male,,,,,,,,,,162.4711594,,23.83412498,23.35247226,,197.0242001,146.8095345,,4.796393041,,759.0747032,4.946461575,,71.76101864,,17.71413377,,5594.3876,,,,30.72602482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7832335,,,,5.899549071,,,,,,,,,,,,,,,,,,,,,,,,,11.61828316,,,4.00758766,,,,,,,,10.56774659,5.293765188,,,,,,,
Austin,2012,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20579046,21.33956386,,,,,,,,,,,50.17751479,0.992924528,,,,,,19801.0,,28.60142797,43.02884615,,,50.16820858,7.829457364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
