,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Births | Low Birthweight,Births | Preterm Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child","Housing | Homeless, Children",Housing | Renters vs. Owners,Income Inequality | Income Inequality,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Population | Children,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Infection | COVID-19 Deaths,Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Gonorrhea Cases,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car
5207,0.4,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,,,,,0.5073298579405487,,0.43767791249508237,0.40195130735929785,0.033677137536659955,,0.3960675365525747,0.05946534150882865,,0.26752466456892027,,0.2985727314700023,,,,,,,,,,,,,,,,,,,,,,,,,,0.03713820399740873,,
5208,0.4,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,,,,,0.8481854864585582,,0.8342532015426383,0.6599075796530142,0.4190425691952914,,0.6718193765410299,0.3274771844943253,,0.5461205831270164,,0.45885688202641234,,,,,,,,,,,,,,,,,,,,,,,,,,0.11939435526297414,,
3130,0.6,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.10210676359600566,,0.04119570556981406,0.14583701336243798,0.013128287964241293,,0.15889987186112484,0.03692261328390243,,0.06613227131214883,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02112844898021542,0.0183203448441562,
5628,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.4070492346319399,,,,,0.46529988347350754,,0.5896983585690021,,,,,,,,,,,,,,,,,,,,
3135,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.534623411154722,,0.5539764961403403,0.47245754070942975,0.026043441231337828,,0.47198347305271404,0.22327875584156034,,0.29240523856782663,,0.12937938046933467,,,,,,,,,,,,,,,,,,,,,,,,,,0.1407548941619183,0.12762399480234912,
4994,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,,,,,0.4800388390842974,,0.5150634320400138,0.4449389758531689,0.06816242639508265,,0.4574236778927704,0.19176433061596157,,0.2738357564790682,,0.40561967311738806,,,,,,,,,,,,,,,,,,,,,,,,,,0.07096830010004791,0.056227254248552995,
4380,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.3556974888116764,,,,,0.7667970019401468,,0.8746217676512823,,,,,,,,,,,,,,,,,,,,
6658,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.5479655553756178,,0.44982501860162866,0.3674161059926514,0.02040369388880483,,0.3886296404280233,0.13933031887558064,,0.17922772566300224,,0.31901266792846833,,,,,,,,,,,,,,,,,,,,,,,,,,0.07393243295700548,0.06467211311139055,
5620,0.8,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.2308844305428525,,0.16460689472741688,0.09843580028375937,,,0.15700736054316636,0.044751921435928224,,0.08369134241478514,,0.3716541906726677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,,,,,0.518025040668842,,0.4416782034989786,0.4404091856987255,0.08582184111577938,,0.43535198674538905,0.1682088422872586,,0.2754516360227665,,0.30099242643851876,,,,,,,,,,,,,,,,,,,,,,,,,,0.04922177148407182,0.027614203056949956,
