,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Maternal Deaths,Food Access | Limited Supermarket Access,"Housing | Homeless, Children",Births | Low Birthweight,"Health Insurance | Uninsured, All Ages",Deaths | Premature Death,Mental Health | Adult Mental Distress
3519,18,1,2,3,1,0,0,1,2021,18.668800879764266,23.523220022508703,12.770893683722294,5.705575696064952,4.142055414011114,7940.354596,15.222588145253418
3520,18,0,0,3,1,0,0,1,2022,13.18652337,25.162301870689603,2.063106796,7.645452636,9.050666829,7178.119121,16.7
3521,18,0,1,3,1,0,0,1,2022,13.85917329953948,28.562160486636525,6.760272282191887,7.951272299897711,8.714117192344954,5072.528218,16.000282713779356
3522,18,0,2,3,1,0,0,1,2022,13.85917329953948,28.562160486636525,6.760272282191887,7.951272299897711,8.714117192344954,9404.973409,16.000282713779356
3523,18,4,0,3,1,0,0,1,2022,12.7702611971198,28.562160486636525,6.760272282191887,9.832134293,5.199526692,6048.296508,16.000282713779356
3524,18,4,1,3,1,0,0,1,2022,12.764350424398907,28.657997080630935,6.750097963264729,9.202148565253138,5.226649481581804,4492.167151,16.000018858617924
3525,18,4,2,3,1,0,0,1,2022,12.764350424398907,28.657997080630935,6.750097963264729,9.202148565253138,5.226649481581804,8027.856157,16.000018858617924
3526,18,2,0,3,1,0,0,1,2022,34.32246811563226,28.562160486636525,6.760272282191887,12.1332276,8.359719038,13696.29443,16.000282713779356
3527,18,2,1,3,1,0,0,1,2022,34.92283240320315,28.657997080630935,6.750097963264729,12.29141178874933,8.183028555087768,8870.766702,16.000018858617924
3528,18,2,2,3,1,0,0,1,2022,34.92283240320315,28.657997080630935,6.750097963264729,12.29141178874933,8.183028555087768,19557.426,16.000018858617924
3529,18,3,0,3,1,0,0,1,2022,12.338068254453612,28.562160486636525,6.760272282191887,6.704248037,13.54980445,6427.736423,16.000282713779356
3530,18,3,1,3,1,0,0,1,2022,14.644397267728406,28.657997080630935,6.750097963264729,6.616357349791612,12.659288912624357,4460.472275,16.000018858617924
3531,18,3,2,3,1,0,0,1,2022,14.644397267728406,28.657997080630935,6.750097963264729,6.616357349791612,12.659288912624357,8464.136993,16.000018858617924
3532,18,5,0,3,1,0,0,1,2022,12.7702611971198,28.562160486636525,6.760272282191887,7.95127229989771,12.95881441,6832.995599190025,16.000282713779356
3533,18,1,0,3,1,0,0,1,2022,21.927858806912464,28.562160486636525,6.760272282191887,5.627198124,4.185126519,6821.260029,16.000282713779356
3534,18,1,1,3,1,0,0,1,2022,18.854416926466506,28.657997080630935,6.750097963264729,5.827666013643834,3.8754249922250708,5102.787581,16.000018858617924
3535,18,1,2,3,1,0,0,1,2022,18.854416926466506,28.657997080630935,6.750097963264729,5.827666013643834,3.8754249922250708,8531.933105,16.000018858617924
3536,2,0,0,3,1,1,0,1,2010,6.443959036,26.14243694,16.49195336385624,7.442237834,15.857779299320157,5005.031868,13.2
3537,2,0,1,3,1,1,0,1,2010,12.520305508575968,42.00281760285183,16.49412972839453,7.396085210793207,15.85053047958009,3506.730439,13.371167677631828
3538,2,0,2,3,1,1,0,1,2010,12.520305508575968,42.00281760285183,16.49412972839453,7.396085210793207,15.85053047958009,6527.281503,13.371167677631828
3539,2,4,0,3,1,1,0,1,2010,12.520305508575968,42.00281760285183,16.49412972839453,7.979734009,10.558819252520998,2969.104324,13.371167677631828
3540,2,4,1,3,1,1,0,1,2010,12.514288688342411,42.01463824828581,16.495500923071443,8.401334466476502,10.609796490985719,2226.294332,13.371295247862962
3541,2,4,2,3,1,1,0,1,2010,12.514288688342411,42.01463824828581,16.495500923071443,8.401334466476502,10.609796490985719,3853.32624,13.371295247862962
3542,2,2,0,3,1,1,0,1,2010,17.75126922,42.00281760285183,16.49412972839453,12.76533019,12.286756723048516,11615.7501,13.371167677631828
3543,2,2,1,3,1,1,0,1,2010,33.109827627807974,42.01463824828581,16.495500923071443,12.577159957452212,12.334767984842378,8723.579915,13.371295247862962
3544,2,2,2,3,1,1,0,1,2010,33.109827627807974,42.01463824828581,16.495500923071443,12.577159957452212,12.334767984842378,14946.86548,13.371295247862962
3545,2,3,0,3,1,1,0,1,2010,5.22507707,42.00281760285183,16.49412972839453,6.687095481,24.310658569367376,4550.838819,13.371167677631828
3546,2,3,1,3,1,1,0,1,2010,12.312113204313562,42.01463824828581,16.495500923071443,6.700466558127931,24.369596868947934,2992.391571,13.371295247862962
3547,2,3,2,3,1,1,0,1,2010,12.312113204313562,42.01463824828581,16.495500923071443,6.700466558127931,24.369596868947934,6117.984808,13.371295247862962
3548,2,5,0,3,1,1,0,1,2010,12.520305508575968,42.00281760285183,16.49412972839453,7.396085210793207,23.047200726697515,5349.1070970101455,13.371167677631828
3549,2,1,0,3,1,1,0,1,2010,16.06683805,42.00281760285183,16.49412972839453,7.039739619,7.834996868522538,4430.61244,13.371167677631828
3550,2,1,1,3,1,1,0,1,2010,17.274798147252632,42.01463824828581,16.495500923071443,7.126157739322652,7.800195429634962,3221.59566,13.371295247862962
3551,2,1,2,3,1,1,0,1,2010,17.274798147252632,42.01463824828581,16.495500923071443,7.126157739322652,7.800195429634962,5576.614012,13.371295247862962
3552,2,0,0,3,1,1,0,1,2011,6.443959036,26.14243694,16.49578434011783,7.365062813,15.355635630636499,4932.012017,13.2
3553,2,0,1,3,1,1,0,1,2011,12.50972747006601,38.059246011982765,16.49272411593122,7.395928260867822,15.156101447915178,3438.158746,13.32860804396774
3554,2,0,2,3,1,1,0,1,2011,12.50972747006601,38.059246011982765,16.49272411593122,7.395928260867822,15.156101447915178,6450.113974,13.32860804396774
3555,2,4,0,3,1,1,0,1,2011,12.509727470066009,38.059246011982765,16.49272411593122,7.976125882,10.9470639794278,3038.82788,13.32860804396774
3556,2,4,1,3,1,1,0,1,2011,12.508866544160178,42.025290593109524,16.494659509555017,8.387066237900703,11.254288939108854,2281.75624,13.328589790386525
3557,2,4,2,3,1,1,0,1,2011,12.508866544160178,42.025290593109524,16.494659509555017,8.387066237900703,11.254288939108854,3937.708543,13.328589790386525
3558,2,2,0,3,1,1,0,1,2011,17.75126922,38.059246011982765,16.49272411593122,12.73355941,11.603484208165039,11393.79854,13.32860804396774
3559,2,2,1,3,1,1,0,1,2011,25.36917553197036,42.025290593109524,16.494659509555017,12.57681009158883,11.527070584745074,8548.036193,13.328589790386525
3560,2,2,2,3,1,1,0,1,2011,25.36917553197036,42.025290593109524,16.494659509555017,12.57681009158883,11.527070584745074,14608.17108,13.328589790386525
3561,2,3,0,3,1,1,0,1,2011,5.22507707,38.059246011982765,16.49272411593122,6.556739141,25.27562772393692,4438.796207,13.32860804396774
3562,2,3,1,3,1,1,0,1,2011,12.299775701590736,42.025290593109524,16.494659509555017,6.681124229489017,25.810794286103935,2904.414898,13.328589790386525
3563,2,3,2,3,1,1,0,1,2011,12.299775701590736,42.025290593109524,16.494659509555017,6.681124229489017,25.810794286103935,5985.810888,13.328589790386525
3564,2,5,0,3,1,1,0,1,2011,12.50972747006601,38.059246011982765,16.49272411593122,7.395928260867823,23.561167055339524,5348.071861516173,13.32860804396774
3565,2,1,0,3,1,1,0,1,2011,16.06683805,38.059246011982765,16.49272411593122,7.064002236,8.344221922501523,4452.450526,13.32860804396774
3566,2,1,1,3,1,1,0,1,2011,16.665991082799682,42.025290593109524,16.494659509555017,7.089685433519663,8.404474861830991,3225.530031,13.328589790386525
3567,2,1,2,3,1,1,0,1,2011,16.665991082799682,42.025290593109524,16.494659509555017,7.089685433519663,8.404474861830991,5609.601516,13.328589790386525
3568,2,0,0,3,1,1,0,1,2012,6.443959036,26.14243694,16.395887166967377,7.367797873,15.898461322340426,4819.013457,13.2
3569,2,0,1,3,1,1,0,1,2012,12.50972747006601,38.059246011982765,16.330527952361656,7.35699196646025,15.864893495546736,3404.673384,13.32860804396774
3570,2,0,2,3,1,1,0,1,2012,12.50972747006601,38.059246011982765,16.330527952361656,7.35699196646025,15.864893495546736,6253.611774,13.32860804396774
3571,2,4,0,3,1,1,0,1,2012,12.50972747006601,38.059246011982765,16.330527952361656,8.078426088,9.947574155212767,3097.61013,13.32860804396774
3572,2,4,1,3,1,1,0,1,2012,12.508866544160178,42.025290593109524,16.32967234776581,8.140863740941514,9.81231896955121,2406.308781,13.328589790386525
3573,2,4,2,3,1,1,0,1,2012,12.508866544160178,42.025290593109524,16.32967234776581,8.140863740941514,9.81231896955121,3935.923025,13.328589790386525
3574,2,2,0,3,1,1,0,1,2012,17.75126922,38.059246011982765,16.330527952361656,12.54765795,11.765382325957445,11333.38164,13.32860804396774
3575,2,2,1,3,1,1,0,1,2012,17.751269220000005,42.025290593109524,16.32967234776581,12.317409303542798,11.700015226791296,8503.357389,13.328589790386525
