,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Air Pollution | Poor Air Quality,Dietary Quality | Teen Breakfast,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Physical Activity | Teen Physical Education,School Violence | Fighting in School
6120,4,2,2,3,1,1,0,0,2015,79.19013379253778,16.248823250513347,0.23579507606700226,39.597610028575005,25.968329141431596
6121,4,3,0,3,1,1,0,0,2015,79.1873095893365,14.1,0.23574250872357203,42.3,22.3
6122,4,3,1,3,1,1,0,0,2015,79.19013379253778,14.648537726381752,0.23579507606700226,44.52765819863563,16.880681778138815
6123,4,3,2,3,1,1,0,0,2015,79.19013379253778,15.584431810579288,0.23579507606700226,42.52694786711931,22.833538032436056
6124,4,5,0,3,1,1,0,0,2015,79.1873095893365,13.698065493265684,0.23574250872357203,42.92928876494037,21.53126151722986
6125,4,1,0,3,1,1,0,0,2015,79.1873095893365,14.5,0.23574250872357203,43.9,22.6
6126,4,1,1,3,1,1,0,0,2015,79.19013379253778,13.438183816352035,0.23579507606700226,42.86156161303564,17.136149924318328
6127,4,1,2,3,1,1,0,0,2015,79.19013379253778,14.7963448467633,0.23579507606700226,41.41933337167298,24.541491662646674
6128,4,0,0,3,1,1,0,0,2016,81.14754098,12.8,0.253360546,41.2,19.8
6129,4,0,1,3,1,1,0,0,2016,78.55181762543207,12.853617985656374,0.236037104669379,44.24885685175364,13.50155214894274
6130,4,0,2,3,1,1,0,0,2016,78.55181762543207,14.519541598029232,0.236037104669379,40.439168896475394,24.67273200706268
6131,4,4,0,3,1,1,0,0,2016,78.55181762543207,12.209899349640027,0.236037104669379,42.526914690009086,11.910286079659139
6132,4,4,1,3,1,1,0,0,2016,78.55544865553188,13.039938580537278,0.23599813740074155,43.92811540320895,14.415734700495356
6133,4,4,2,3,1,1,0,0,2016,78.55544865553188,13.885410268805966,0.23599813740074155,42.707141316940216,20.078318437420766
6134,4,2,0,3,1,1,0,0,2016,78.55181762543207,16.3735764235095,0.236037104669379,43.10205990606107,26.24470606671554
6135,4,2,1,3,1,1,0,0,2016,78.55544865553188,14.355715441324726,0.23599813740074155,42.34333081027782,19.781937051216474
6136,4,2,2,3,1,1,0,0,2016,78.55544865553188,15.476799428767203,0.23599813740074155,40.77332334692383,25.47824827332022
6137,4,3,0,3,1,1,0,0,2016,78.55181762543207,14.729292400279888,0.236037104669379,41.85866478761558,20.259805576428857
6138,4,3,1,3,1,1,0,0,2016,78.55544865553188,14.277749042716323,0.23599813740074155,44.55741339195506,18.119008366755587
6139,4,3,2,3,1,1,0,0,2016,78.55544865553188,15.123220730985011,0.23599813740074155,42.57157749947744,23.781592103680996
6140,4,5,0,3,1,1,0,0,2016,78.55181762543207,13.741341103436538,0.236037104669379,43.52069879235124,20.22701962071039
6141,4,1,0,3,1,1,0,0,2016,78.55181762543207,13.685413790151916,0.236037104669379,43.226754715897464,19.112683407565324
6142,4,1,1,3,1,1,0,0,2016,78.55544865553188,12.569212328403127,0.23599813740074155,44.13142610710435,15.680214720806845
6143,4,1,2,3,1,1,0,0,2016,78.55544865553188,13.414684016671817,0.23599813740074155,42.570513440298335,21.606617775283468
6144,4,0,0,3,1,1,0,0,2017,77.26027397,14.3,0.310088529,43.5,19.8
6145,4,0,1,3,1,1,0,0,2017,78.40555871976822,13.3,0.2480032189549224,45.8,13.239661962247066
6146,4,0,2,3,1,1,0,0,2017,78.40555871976822,15.3,0.2480032189549224,41.1,23.24327484137994
6147,4,4,0,3,1,1,0,0,2017,78.40555871976822,12.7,0.2480032189549224,48.7,11.04312110184237
6148,4,4,1,3,1,1,0,0,2017,78.40727766821881,13.637301322263731,0.24795314945770155,44.59222318241684,12.836651946735776
6149,4,4,2,3,1,1,0,0,2017,78.40727766821881,14.336862887014481,0.24795314945770155,43.06784302219421,18.47061129278181
6150,4,2,0,3,1,1,0,0,2017,78.40555871976822,18.1,0.2480032189549224,42.8,25.567051923185044
6151,4,2,1,3,1,1,0,0,2017,78.40727766821881,14.80177073502268,0.24795314945770155,42.97547701778544,17.51744823271954
6152,4,2,2,3,1,1,0,0,2017,78.40727766821881,15.506726043831971,0.24795314945770155,40.64320437132343,23.812575268735387
6153,4,3,0,3,1,1,0,0,2017,78.40555871976822,14.5,0.2480032189549224,40.7,18.770177368157356
6154,4,3,1,3,1,1,0,0,2017,78.40727766821881,14.155748299160082,0.24795314945770155,44.028796986237765,16.326696106528455
6155,4,3,2,3,1,1,0,0,2017,78.40727766821881,15.154983180578647,0.24795314945770155,42.50441682601514,21.960655452574493
6156,4,5,0,3,1,1,0,0,2017,78.40555871976822,13.784757635453417,0.2480032189549224,43.69328376709948,20.012128487624548
6157,4,1,0,3,1,1,0,0,2017,78.40555871976822,16.6,0.2480032189549224,38.6,18.264719614573654
6158,4,1,1,3,1,1,0,0,2017,78.40727766821881,11.642818564700018,0.24795314945770155,43.39883186852115,16.00568373505033
6159,4,1,2,3,1,1,0,0,2017,78.40727766821881,12.492216787784676,0.24795314945770155,41.88807322269251,21.2459610989654
6160,4,0,0,3,1,1,0,0,2018,80.0,14.3,0.260363488,43.5,19.8
6161,4,0,1,3,1,1,0,0,2018,78.07119429503751,13.14248638413233,0.2519317611935316,45.67486676946689,12.622701618626472
6162,4,0,2,3,1,1,0,0,2018,78.07119429503751,14.909988873054377,0.2519317611935316,42.6376178577793,22.51835510437215
6163,4,4,0,3,1,1,0,0,2018,78.07119429503751,13.277585062571147,0.2519317611935316,45.75015870297675,9.830938727420307
6164,4,4,1,3,1,1,0,0,2018,78.0641888097668,12.590139282687696,0.23052177969802878,43.25458117522424,11.991302786505383
6165,4,4,2,3,1,1,0,0,2018,78.0641888097668,14.68117642572273,0.23052177969802878,42.53861049681297,15.909416833773408
6166,4,2,0,3,1,1,0,0,2018,78.07119429503751,16.801575953420173,0.2519317611935316,43.381365356380755,25.24450581278927
6167,4,2,1,3,1,1,0,0,2018,78.0641888097668,15.400494927777709,0.23052177969802878,42.29692981977028,19.043875323045505
6168,4,2,2,3,1,1,0,0,2018,78.0641888097668,15.690195172147366,0.23052177969802878,40.142742889642236,24.9379158284442
