,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
473,8,3,0,1,1,0,1,1,2013,30.26412326,4.855929386402582,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
474,8,3,1,1,1,0,1,1,2013,29.96200160113387,4.8364550224552945,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
475,8,3,2,1,1,0,1,1,2013,29.96200160113387,4.8364550224552945,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
476,8,5,0,1,1,0,1,1,2013,12.610713833908916,5.312627087508673,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
477,8,1,0,1,1,0,1,1,2013,2.664058812,3.6091698593822605,17.307404105075445,0.023602255764810003,2.234893638818265,54.51943782762711,35.133854777172736
478,8,1,1,1,1,0,1,1,2013,2.880730466865955,3.5764435638489447,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
479,8,1,2,1,1,0,1,1,2013,2.880730466865955,3.5764435638489447,17.306634754865957,0.023585754889498517,2.234921682412304,54.51966679103087,35.134190503207506
480,8,0,0,1,1,0,1,1,2014,11.30254811,5.011643212,17.46198604,0.06495105,1.879672481,53.94568883,34.29257415
481,8,0,1,1,1,0,1,1,2014,11.30832607194128,5.439170133202429,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
482,8,0,2,1,1,0,1,1,2014,11.30832607194128,5.439170133202429,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
483,8,4,0,1,1,0,1,1,2014,1.345755694,2.6337755571060613,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
484,8,4,1,1,1,0,1,1,2014,2.6730278929471916,2.5550248773505673,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
485,8,4,2,1,1,0,1,1,2014,2.6730278929471916,2.5550248773505673,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
486,8,2,0,1,1,0,1,1,2014,24.10471984,7.149772846,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
487,8,2,1,1,1,0,1,1,2014,24.114957661701144,7.774717732968379,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
488,8,2,2,1,1,0,1,1,2014,24.114957661701144,7.774717732968379,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
489,8,3,0,1,1,0,1,1,2014,28.02286566,4.636618503,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
490,8,3,1,1,1,0,1,1,2014,27.579557568138775,5.121447102988223,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
491,8,3,2,1,1,0,1,1,2014,27.579557568138775,5.121447102988223,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
492,8,5,0,1,1,0,1,1,2014,11.30832607194128,5.439170133202429,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
493,8,1,0,1,1,0,1,1,2014,2.30446447,3.611251901,17.150808979533725,0.03746268534046,2.081955614166583,54.327112810107195,34.85185112744206
494,8,1,1,1,1,0,1,1,2014,2.2892833322399953,3.5281667806024446,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
495,8,1,2,1,1,0,1,1,2014,2.2892833322399953,3.5281667806024446,17.150253625782963,0.03741362720489822,2.082050637491611,54.32779353264396,34.85284926196609
496,8,0,0,1,1,0,1,1,2015,9.564236917,5.353291894,17.46198604,0.06495105,1.924829572,53.94568883,34.29257415
497,8,0,1,1,1,0,1,1,2015,10.091627134346782,5.04767692507267,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
498,8,0,2,1,1,0,1,1,2015,10.091627134346782,5.04767692507267,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
499,8,4,0,1,1,0,1,1,2015,0.993739442,2.808199944,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
500,8,4,1,1,1,0,1,1,2015,2.8888220244220326,2.5563421071848786,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
501,8,4,2,1,1,0,1,1,2015,2.8888220244220326,2.5563421071848786,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
502,8,2,0,1,1,0,1,1,2015,19.7693575,7.419305492,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
503,8,2,1,1,1,0,1,1,2015,21.49729695396868,7.247258076720478,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
504,8,2,2,1,1,0,1,1,2015,21.49729695396868,7.247258076720478,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
505,8,3,0,1,1,0,1,1,2015,24.77393782,5.362212175,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
506,8,3,1,1,1,0,1,1,2015,25.430199157867744,5.153306255906206,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
507,8,3,2,1,1,0,1,1,2015,25.430199157867744,5.153306255906206,16.99371769820403,0.0775876130923226,1.9289929237074317,54.112775765726425,34.4859275962042
508,8,5,0,1,1,0,1,1,2015,10.091627134346778,5.04767692507267,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
509,8,1,0,1,1,0,1,1,2015,1.664571797,3.855297822,16.993904493378576,0.07752503271228972,1.928655714748767,54.111948296749304,34.48497004690415
