,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Climate-related  Disasters,Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Race/Ethnicity | Minority Population,Respiratory Infection | New Tuberculosis Cases,Transportation | Public Transportation Use
487,8,2,1,1,1,0,1,1,2014,24.38376957,3.684857544,11.3,55.82674415331862,83.35868288,54.488195366585,6.685362996383606,40.183052592060314
488,8,2,2,1,1,0,1,1,2014,49.75751828,8.599036521,11.3,55.82674415331862,76.78179249,54.488195366585,6.685362996383606,40.183052592060314
489,8,3,0,1,1,0,1,1,2014,16.06577301,3.329500604,11.300000000000002,55.829324631981756,84.73299302,54.48927490289178,6.685021635196193,44.22439468
490,8,3,1,1,1,0,1,1,2014,10.02184847,1.5435441901339535,11.3,55.82674415331862,87.9015212587064,54.488195366585,6.685362996383606,45.23165395134094
491,8,3,2,1,1,0,1,1,2014,23.25874854,5.244586748,11.3,55.82674415331862,81.80247727,54.488195366585,6.685362996383606,45.23165395134094
492,8,5,0,1,1,0,1,1,2014,37.85734394714225,4.271406499574786,11.300000000000002,55.829324631981756,80.82494647319712,54.48927490289178,6.685021635196193,37.67967146
493,8,1,0,1,1,0,1,1,2014,45.92101429,3.251828256,11.300000000000002,55.829324631981756,80.21364613,54.48927490289178,6.685021635196193,28.67718004
494,8,1,1,1,1,0,1,1,2014,40.88178458,2.865168216,11.3,55.82674415331862,82.79535688,54.488195366585,6.685362996383606,30.644471838726776
495,8,1,2,1,1,0,1,1,2014,52.49401123,3.7166762,11.3,55.82674415331862,77.50652878,54.488195366585,6.685362996383606,30.644471838726776
496,8,0,0,1,1,0,1,1,2015,37.14531893,4.834456912,11.3,57.27522423,81.11007992,55.09416311,6.1,33.63852467
497,8,0,1,1,1,0,1,1,2015,29.33862271,3.850760563,11.300000000000002,57.94546177634394,83.99943091,54.89607862849596,6.498905633144844,32.432437293158294
498,8,0,2,1,1,0,1,1,2015,48.72150997,6.047874298,11.300000000000002,57.94546177634394,77.85318178,54.89607862849596,6.498905633144844,32.432437293158294
499,8,4,0,1,1,0,1,1,2015,37.35441754,3.4389425883749407,11.300000000000002,57.94546177634394,86.95173531,54.89607862849596,6.498905633144844,31.67169338
