,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Physical Activity | Teen Physical Education,Respiratory Disease | Teen Asthma,Substance Use | Adult Smoking
4659,0,4,0,1,1,1,1,1,2015,8.27157496843755,388.9112743,41.16104326,41.48198632,5.897494890517664,11.2,17.9,16.40143074353561
4660,0,4,1,1,1,1,1,1,2015,8.358581428720548,312.6602136,41.63653056465095,41.72375906233187,5.891510881764397,18.06145825272075,20.79683806907767,16.40073031411277
4661,0,4,2,1,1,1,1,1,2015,8.358581428720548,487.6045476,41.63653056465095,41.72375906233187,5.891510881764397,19.562344647497365,20.952255013174902,16.40073031411277
4662,0,2,0,1,1,1,1,1,2015,12.044532553818177,705.0993687,23.62160725,26.88898689,5.897494890517664,17.3,29.0,16.40143074353561
4663,0,2,1,1,1,1,1,1,2015,12.29271783472917,793.120106818213,23.577267973914605,26.94281514426209,5.891510881764397,14.973134540921027,25.770369683149244,16.40073031411277
4664,0,2,2,1,1,1,1,1,2015,12.29271783472917,884.5509864,23.577267973914605,26.94281514426209,5.891510881764397,21.65019640541432,27.21983049467565,16.40073031411277
4665,0,3,0,1,1,1,1,1,2015,9.564353676831308,507.4430465,17.36563508,16.42535861,5.897494890517664,20.4,28.2,16.40143074353561
4666,0,3,1,1,1,1,1,1,2015,9.710433794931038,414.1762461,17.58503654272688,16.438437028457685,5.891510881764397,14.67743135875719,26.485339747856003,16.40073031411277
4667,0,3,2,1,1,1,1,1,2015,9.710433794931038,637.0256225,17.58503654272688,16.438437028457685,5.891510881764397,16.804907415657404,27.635127242714596,16.40073031411277
4668,0,5,0,1,1,1,1,1,2015,9.4931631677392,577.147032167204,16.88311688,26.91370063,5.897494890517664,15.751753465123961,24.28905872026444,16.40143074353561
4669,0,1,0,1,1,1,1,1,2015,7.055691740827364,608.8787579,57.38023731,42.88091362,5.897494890517664,8.5,15.3,16.40143074353561
4670,0,1,1,1,1,1,1,1,2015,7.271799669191919,515.3454416,57.31299340672413,42.723928926908975,5.891510881764397,13.337211567732076,20.06448956398659,16.40073031411277
4671,0,1,2,1,1,1,1,1,2015,7.271799669191919,724.28927,57.31299340672413,42.723928926908975,5.891510881764397,15.723496398118119,22.29037669597049,16.40073031411277
4672,0,0,0,1,1,1,1,1,2016,8.773525421,568.9490429,36.71353586,32.62889411,6.178758391,16.0,24.2,16.3
4673,0,0,1,1,1,1,1,1,2016,9.450767454607776,476.976467,37.70967098452002,32.715459601527144,6.169517350485726,20.923177199789478,22.95112600816298,16.044099976707145
4674,0,0,2,1,1,1,1,1,2016,9.450767454607776,692.2363966,37.70967098452002,32.715459601527144,6.169517350485726,23.086854509197497,26.51703248045245,16.044099976707145
4675,0,4,0,1,1,1,1,1,2016,8.067341529,386.0676606,41.16104326,41.48198632,6.169517350485726,21.132625193900274,17.095084605346766,16.044099976707145
4676,0,4,1,1,1,1,1,1,2016,8.359100747576802,313.6177421,42.18765866357546,42.50341417819797,6.1695008581179955,11.887538387164202,19.31544097853733,16.043491076411637
4677,0,4,2,1,1,1,1,1,2016,8.359100747576802,474.6786121,42.18765866357546,42.50341417819797,6.1695008581179955,13.8,22.151336134193965,16.043491076411637
