,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Income-related | Unemployment,"Racial Segregation Indices | Racial Segregation, White and Non-White",Cancer | Lung Cancer Deaths,Active Transportation | Riding Bike to Work,Deaths | Deaths from All Causes,Sexually Transmitted Disease | New Gonorrhea Cases
5265,3,0,1,1,0,1,1,1,2014,12.218726083734648,61.78521128656948,45.52393721,2.085867148260388,714.2042315,427.9760586770167
5266,3,0,2,1,0,1,1,1,2014,12.218726083734648,61.78521128656948,65.55787532,2.085867148260388,1079.967969,427.9760586770167
5267,3,4,0,1,0,1,1,1,2014,8.667122106,61.78521128656948,29.45798471,2.085867148260388,499.9176191,427.9760586770167
5268,3,4,1,1,0,1,1,1,2014,8.902867729871023,61.78660711129958,19.46066999,2.085774077781403,400.0246225,428.02994184010504
5269,3,4,2,1,0,1,1,1,2014,8.902867729871023,61.78660711129958,42.56919521,2.085774077781403,641.0117678,428.02994184010504
5270,3,2,0,1,0,1,1,1,2014,15.45092681,61.78521128656948,56.90567693,2.085867148260388,973.7849075,427.9760586770167
5271,3,2,1,1,0,1,1,1,2014,16.395416422270465,61.78660711129958,48.53781808,2.085774077781403,805.0203918,428.02994184010504
5272,3,2,2,1,0,1,1,1,2014,16.395416422270465,61.78660711129958,71.61399766,2.085774077781403,1232.537746,428.02994184010504
5273,3,3,0,1,0,1,1,1,2014,15.55878436,61.78521128656948,29.06205931,2.085867148260388,710.6939961,427.9760586770167
5274,3,3,1,1,0,1,1,1,2014,16.64805291643775,61.78660711129958,16.76736522,2.085774077781403,542.8206628,428.02994184010504
5275,3,3,2,1,0,1,1,1,2014,16.64805291643775,61.78660711129958,33.44863345473684,2.085774077781403,989.4311756,428.02994184010504
5276,3,5,0,1,0,1,1,1,2014,15.81970835,61.78521128656948,52.70925762883616,2.085867148260388,878.9017817289639,427.9760586770167
5277,3,1,0,1,0,1,1,1,2014,6.472629889,61.78521128656948,57.54297544,2.085867148260388,849.5556223,427.9760586770167
5278,3,1,1,1,0,1,1,1,2014,7.480368773807942,61.78660711129958,50.13233759,2.085774077781403,702.0398718,428.02994184010504
5279,3,1,2,1,0,1,1,1,2014,7.480368773807942,61.78660711129958,67.70891596,2.085774077781403,1039.452151,428.02994184010504
5280,3,0,0,1,0,1,1,1,2015,11.32875348,61.00309964,51.89524258,2.138016608,870.6186367,398.6
5281,3,0,1,1,0,1,1,1,2015,11.391374638120638,60.90695391192482,44.66204533,2.0728768438203895,714.160938,430.3322512724989
5282,3,0,2,1,0,1,1,1,2015,11.391374638120638,60.90695391192482,63.13188549,2.0728768438203895,1089.24039,430.3322512724989
5283,3,4,0,1,0,1,1,1,2015,8.667122106,60.90695391192482,29.6711128,2.0728768438203895,477.7235857,430.3322512724989
5284,3,4,1,1,0,1,1,1,2015,8.261695612409902,60.90647539717423,22.17642175,2.0725526449336176,370.614474,430.40045544379456
5285,3,4,2,1,0,1,1,1,2015,8.261695612409902,60.90647539717423,40.73362894,2.0725526449336176,637.6883538,430.40045544379456
5286,3,2,0,1,0,1,1,1,2015,15.45092681,60.90695391192482,55.89935531,2.0728768438203895,986.3193176,430.3322512724989
5287,3,2,1,1,0,1,1,1,2015,15.507657192687093,60.90647539717423,48.05534684,2.0725526449336176,813.9932342,430.40045544379456
5288,3,2,2,1,0,1,1,1,2015,15.507657192687093,60.90647539717423,69.37205785,2.0725526449336176,1245.388228,430.40045544379456
5289,3,3,0,1,0,1,1,1,2015,15.55878436,60.90695391192482,25.33667895,2.0728768438203895,738.5597506,430.3322512724989
5290,3,3,1,1,0,1,1,1,2015,15.227433580748148,60.90647539717423,14.17063814,2.0725526449336176,572.1067695,430.40045544379456
5291,3,3,2,1,0,1,1,1,2015,15.227433580748148,60.90647539717423,40.86653251,2.0725526449336176,944.5225673,430.40045544379456
5292,3,5,0,1,0,1,1,1,2015,15.81970835,60.90695391192482,50.232130069419064,2.0728768438203895,870.8666264726131,430.3322512724989
5293,3,1,0,1,0,1,1,1,2015,6.472629889,60.90695391192482,55.68400465,2.0728768438203895,850.7700341,430.3322512724989
5294,3,1,1,1,0,1,1,1,2015,6.806700789303122,60.90647539717423,49.39648727,2.0725526449336176,696.2154695,430.40045544379456
5295,3,1,2,1,0,1,1,1,2015,6.806700789303122,60.90647539717423,64.95309003,2.0725526449336176,1052.9127,430.40045544379456
5296,3,0,0,1,0,1,1,1,2016,11.32875348,61.00309964,48.03055986,2.138016608,870.0823902,442.4
5297,3,0,1,1,0,1,1,1,2016,10.564838736237697,60.02744438787645,42.26722233,2.0590381947008223,712.6266021,426.8718487225411
5298,3,0,2,1,0,1,1,1,2016,10.564838736237697,60.02744438787645,57.09783953,2.0590381947008223,1084.779999,426.8718487225411
5299,3,4,0,1,0,1,1,1,2016,8.667122106,60.02744438787645,25.51585915,2.0590381947008223,423.7103053,426.8718487225411
5300,3,4,1,1,0,1,1,1,2016,7.615243441925487,60.025703148329725,18.45795063,2.0588972429288974,335.3726617,426.8645960848143
5301,3,4,2,1,0,1,1,1,2016,7.615243441925487,60.025703148329725,33.59874221,2.0588972429288974,537.9180457,426.8645960848143
5302,3,2,0,1,0,1,1,1,2016,15.45092681,60.02744438787645,53.77701001,2.0590381947008223,993.9546427,426.8718487225411
5303,3,2,1,1,0,1,1,1,2016,14.620636788595776,60.025703148329725,46.81429765,2.0588972429288974,808.573773,426.8645960848143
5304,3,2,2,1,0,1,1,1,2016,14.620636788595776,60.025703148329725,66.23337607,2.0588972429288974,1283.191508,426.8645960848143
5305,3,3,0,1,0,1,1,1,2016,15.55878436,60.02744438787645,20.8073548,2.0590381947008223,696.9278373,426.8718487225411
5306,3,3,1,1,0,1,1,1,2016,13.802498913644788,60.025703148329725,12.34150532,2.0588972429288974,527.1969637,426.8645960848143
5307,3,3,2,1,0,1,1,1,2016,13.802498913644788,60.025703148329725,32.32725383,2.0588972429288974,906.7487378,426.8645960848143
5308,3,5,0,1,0,1,1,1,2016,15.81970835,60.02744438787645,47.61942813500796,2.0590381947008223,872.7639246366913,426.8718487225411
5309,3,1,0,1,0,1,1,1,2016,6.472629889,60.02744438787645,50.67740613,2.0590381947008223,858.6571076,426.8718487225411
5310,3,1,1,1,0,1,1,1,2016,6.137383561581658,60.025703148329725,46.3193894,2.0588972429288974,708.9278325,426.8645960848143
5311,3,1,2,1,0,1,1,1,2016,6.137383561581658,60.025703148329725,57.26016597,2.0588972429288974,1045.11846,426.8645960848143
5312,3,0,0,1,0,1,1,1,2017,11.32875348,61.00309964,44.45287574,2.138016608,865.4917651,461.0
5313,3,0,1,1,0,1,1,1,2017,10.179650798036963,59.53549075295993,37.93436104,2.019214991353223,703.8073576,432.6760617636517
5314,3,0,2,1,0,1,1,1,2017,10.179650798036963,59.53549075295993,54.75600801,2.019214991353223,1082.35291,432.6760617636517
5315,3,4,0,1,0,1,1,1,2017,8.667122106,59.53549075295993,25.37887848,2.019214991353223,415.4362237,432.6760617636517
5316,3,4,1,1,0,1,1,1,2017,7.084855755131114,59.53490508095429,19.93329134,2.019167581732232,322.1005404,432.631733886815
5317,3,4,2,1,0,1,1,1,2017,7.084855755131114,59.53490508095429,32.27163592,2.019167581732232,534.3949645,432.631733886815
5318,3,2,0,1,0,1,1,1,2017,15.45092681,59.53549075295993,49.55776789,2.019214991353223,1002.073993,432.6760617636517
5319,3,2,1,1,0,1,1,1,2017,14.201980513056146,59.53490508095429,42.03305382,2.019167581732232,804.1201198,432.631733886815
5320,3,2,2,1,0,1,1,1,2017,14.201980513056146,59.53490508095429,63.01357982,2.019167581732232,1311.173362,432.631733886815
5321,3,3,0,1,0,1,1,1,2017,15.55878436,59.53549075295993,18.40857001,2.019214991353223,682.8021762,432.6760617636517
5322,3,3,1,1,0,1,1,1,2017,12.916928926290261,59.53490508095429,9.167789155,2.019167581732232,506.0723689,432.631733886815
5323,3,3,2,1,0,1,1,1,2017,12.916928926290261,59.53490508095429,31.67676654,2.019167581732232,903.9386531,432.631733886815
5324,3,5,0,1,0,1,1,1,2017,15.81970835,59.53549075295993,44.995186688840846,2.019214991353223,884.3726909579233,432.6760617636517
5325,3,1,0,1,0,1,1,1,2017,6.472629889,59.53549075295993,47.5646772,2.019214991353223,851.4677912,432.6760617636517
5326,3,1,1,1,0,1,1,1,2017,5.96834265393841,59.53490508095429,42.3504987,2.019167581732232,706.643424,432.631733886815
5327,3,1,2,1,0,1,1,1,2017,5.96834265393841,59.53490508095429,55.65788136,2.019167581732232,1026.975817,432.631733886815
5328,3,0,0,1,0,1,1,1,2018,8.645335529,57.57589675,40.45196919,1.860587623,848.6981816,455.8
5329,3,0,1,1,0,1,1,1,2018,9.794438210963039,59.043505637040084,35.97588823,1.9793892396467778,689.8122306,441.7414637415258
5330,3,0,2,1,0,1,1,1,2018,9.794438210963039,59.043505637040084,47.51424702,1.9793892396467778,1058.391075,441.7414637415258
5331,3,4,0,1,0,1,1,1,2018,4.972167777,59.043505637040084,18.67525927,1.9793892396467778,396.16329,441.7414637415258
