,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes Deaths,Deaths | Premature Death,Lead Poisoning | Housing Lead Risk,Language and Nativity | Foreign Born Population,Respiratory Infection | New Tuberculosis Cases,Substance Use | Drug Overdose Deaths,"Health Insurance | Uninsured, Child"
2881,26,0,1,0,1,0,0,0,2021,26.03723627,8459.816735,26.575245097752923,11.041199478518067,2.5857294342418036,44.9771235,5.616443854248198
2882,26,0,2,0,1,0,0,0,2021,46.62635505,15891.27601,26.575245097752923,11.041199478518067,2.5857294342418036,102.5895961,5.616443854248198
2883,26,4,0,0,1,0,0,0,2021,25.52351426,4883.010083,26.575245097752923,11.041199478518067,2.5857294342418036,9.256073806,9.845365541
2884,26,4,1,0,1,0,0,0,2021,20.472312338571427,3326.738004,26.575202964486024,11.041186804658974,2.5857218606012005,4.329968013446061,5.627097945032768
2885,26,4,2,0,1,0,0,0,2021,25.801276514314544,6349.521634,26.575202964486024,11.041186804658974,2.5857218606012005,18.29037396,5.627097945032768
2886,26,2,0,0,1,0,0,0,2021,51.92654525,17228.83183,26.575245097752923,11.041199478518067,2.5857294342418036,84.41526608,4.261333754
2887,26,2,1,0,1,0,0,0,2021,40.97674316,11109.89091,26.575202964486024,11.041186804658974,2.5857218606012005,38.19471627,4.252454308921139
2888,26,2,2,0,1,0,0,0,2021,68.60806974,24431.7448,26.575202964486024,11.041186804658974,2.5857218606012005,143.2645552,4.252454308921139
2889,26,3,0,0,1,0,0,0,2021,32.90218561,7958.956783,26.575245097752923,11.041199478518067,2.5857294342418036,22.37981973,11.65812224
2890,26,3,1,0,1,0,0,0,2021,23.625060851363635,4840.609587,26.575202964486024,11.041186804658974,2.5857218606012005,18.21952001,13.26862024727121
2891,26,3,2,0,1,0,0,0,2021,35.96899109,10740.51043,26.575202964486024,11.041186804658974,2.5857218606012005,38.39836416,13.26862024727121
2892,26,5,0,0,1,0,0,0,2021,28.564738865691186,10444.90505825624,26.575245097752923,11.041199478518067,2.5857294342418036,61.70747929553885,0.0
2893,26,1,0,0,1,0,0,0,2021,30.7195585,11110.99785,26.575245097752923,11.041199478518067,2.5857294342418036,87.18772704,4.777062499
2894,26,1,1,0,1,0,0,0,2021,12.012495086000001,8308.335324,26.575202964486024,11.041186804658974,2.5857218606012005,61.78950478,4.598323292476008
2895,26,1,2,0,1,0,0,0,2021,24.333291919999997,13942.29973,26.575202964486024,11.041186804658974,2.5857218606012005,112.8129639,4.598323292476008
2896,26,0,0,0,1,0,0,0,2022,32.4127672,12113.94495,22.07939195,10.29686873,3.5,76.29381247,6.106964136
2897,26,0,1,0,1,0,0,0,2022,23.832189,8538.531011,25.833947158893807,11.343269720362983,2.928574040386518,48.35357162,5.964150232899415
2898,26,0,2,0,1,0,0,0,2022,43.87494838,15814.33457,25.833947158893807,11.343269720362983,2.928574040386518,105.6601094,5.964150232899415
2899,26,4,0,0,1,0,0,0,2022,22.440690318378376,4616.172768,25.833947158893807,11.343269720362983,2.928574040386518,9.52798731,9.845365541
2900,26,4,1,0,1,0,0,0,2022,17.715950045631743,3224.450219,25.833891473314402,11.343262568912767,2.928572734586414,4.320921132542086,5.694009435154291
2901,26,4,2,0,1,0,0,0,2022,25.193189095835944,5908.079899,25.833891473314402,11.343262568912767,2.928572734586414,20.5056742,5.694009435154291
2902,26,2,0,0,1,0,0,0,2022,48.31036966,17494.07354,25.833947158893807,11.343269720362983,2.928574040386518,95.36347948,4.261333754
2903,26,2,1,0,1,0,0,0,2022,35.04839447,11257.13201,25.833891473314402,11.343262568912767,2.928572734586414,43.45462475,4.4184500457110945
2904,26,2,2,0,1,0,0,0,2022,67.6328406,24808.7736,25.833891473314402,11.343262568912767,2.928572734586414,160.611408,4.4184500457110945
2905,26,3,0,0,1,0,0,0,2022,37.91330512,7847.62734,25.833947158893807,11.343269720362983,2.928574040386518,27.12719105,11.65812224
2906,26,3,1,0,1,0,0,0,2022,24.033008622857146,4938.023006,25.833891473314402,11.343262568912767,2.928572734586414,16.2831279333,12.47873718644059
2907,26,3,2,0,1,0,0,0,2022,25.9756153,10483.81592,25.833891473314402,11.343262568912767,2.928572734586414,47.10329682,12.47873718644059
2908,26,5,0,0,1,0,0,0,2022,26.794255906458048,10324.176355562693,25.833947158893807,11.343269720362983,2.928574040386518,60.69410758794939,0.0
2909,26,1,0,0,1,0,0,0,2022,28.93992048,11109.09489,25.833947158893807,11.343269720362983,2.928574040386518,87.25261268,4.777062499
2910,26,1,1,0,1,0,0,0,2022,12.346943283333333,8415.278706,25.833891473314402,11.343262568912767,2.928572734586414,65.23119773,4.92085933238181
2911,26,1,2,0,1,0,0,0,2022,23.71454611,13795.0112,25.833891473314402,11.343262568912767,2.928572734586414,109.2812825,4.92085933238181
2912,29,0,0,0,1,0,0,0,2010,24.13462867,7982.144597,30.55368941,7.600941336,1.6,15.13427504,6.0494965357199995
2913,29,0,1,0,1,0,0,0,2010,22.38440465,5555.318386,28.832776360124413,9.674037417648847,3.800015540299781,12.71215794,6.069496103690248
2914,29,0,2,0,1,0,0,0,2010,26.97006732,10626.04273,28.832776360124413,9.674037417648847,3.800015540299781,17.87960664,6.069496103690248
2915,29,4,0,0,1,0,0,0,2010,18.045337857828507,4792.322423,28.832776360124413,9.674037417648847,3.800015540299781,4.35419212542165,11.17330946952
2916,29,4,1,0,1,0,0,0,2010,16.565899143456022,3717.323663,28.832715282230527,9.674026117325637,3.800007770789162,3.069677197432652,11.238424612572082
2917,29,4,2,0,1,0,0,0,2010,22.043087703552402,5930.664154,28.832715282230527,9.674026117325637,3.800007770789162,6.079140951644814,11.238424612572082
2918,29,2,0,0,1,0,0,0,2010,37.93726227,12391.07239,28.832776360124413,9.674037417648847,3.800015540299781,14.34512016,5.21382864148
2919,29,2,1,0,1,0,0,0,2010,39.32437639,8374.144232,28.832715282230527,9.674026117325637,3.800007770789162,11.21187661,5.235547317012828
2920,29,2,2,0,1,0,0,0,2010,36.92802818,17311.86013,28.832715282230527,9.674026117325637,3.800007770789162,18.28475648,5.235547317012828
2921,29,3,0,0,1,0,0,0,2010,41.59071544,4330.636574,28.832776360124413,9.674037417648847,3.800015540299781,10.005160592045456,13.732369508400003
2922,29,3,1,0,1,0,0,0,2010,29.352864687317254,2955.620506,28.832715282230527,9.674026117325637,3.800007770789162,7.284709343612659,13.73567980714592
2923,29,3,2,0,1,0,0,0,2010,37.007618467169074,5614.864595,28.832715282230527,9.674026117325637,3.800007770789162,15.477782032806747,13.73567980714592
2924,29,5,0,0,1,0,0,0,2010,23.66261983504288,7700.5067282315895,28.832776360124413,9.674037417648847,3.800015540299781,18.483832295941095,9.94321891508
2925,29,1,0,0,1,0,0,0,2010,18.00618228,6796.227904,28.832776360124413,9.674037417648847,3.800015540299781,18.6809361,4.0421911556
2926,29,1,1,0,1,0,0,0,2010,13.41686693,4706.989175,28.832715282230527,9.674026117325637,3.800007770789162,16.34957338,4.077151567471594
2927,29,1,2,0,1,0,0,0,2010,23.87375433,9031.520021,28.832715282230527,9.674026117325637,3.800007770789162,21.05320329,4.077151567471594
2928,29,0,0,0,1,0,0,0,2011,23.17876513,7946.745987,30.55368941,7.600941336,2.2,15.66962269,6.040362535222223
