,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1582,10,1,1,2,1,1,0,1,2017,18.71771294681417,9.976735257286295,32.50125944937071,46.9697453895739,652.6422050840288
1583,10,1,2,2,1,1,0,1,2017,18.71771294681417,9.976735257286295,25.859219755755706,46.9697453895739,652.6422050840288
1584,10,0,0,2,1,1,0,1,2018,22.10677429,9.991260734,32.8,46.89079454,690.9
1585,10,0,1,2,1,1,0,1,2018,21.949175301129895,9.98157979744707,41.35532420054984,46.943413685009105,676.0487705394581
1586,10,0,2,2,1,1,0,1,2018,21.949175301129895,9.98157979744707,24.18318085218221,46.943413685009105,676.0487705394581
1587,10,4,0,2,1,1,0,1,2018,9.948103232010244,9.98157979744707,25.580274463527623,46.943413685009105,676.0487705394581
1588,10,4,1,2,1,1,0,1,2018,9.80582246724005,9.981578782713708,34.419999999999995,46.9434192004261,676.0244516059279
1589,10,4,2,2,1,1,0,1,2018,9.80582246724005,9.981578782713708,24.04,46.9434192004261,676.0244516059279
1590,10,2,0,2,1,1,0,1,2018,34.8752081,9.98157979744707,29.21684442407449,46.943413685009105,676.0487705394581
1591,10,2,1,2,1,1,0,1,2018,34.97247499919353,9.981578782713708,38.879999999999995,46.9434192004261,676.0244516059279
1592,10,2,2,2,1,1,0,1,2018,34.97247499919353,9.981578782713708,24.4,46.9434192004261,676.0244516059279
1593,10,3,0,2,1,1,0,1,2018,13.20045633,9.98157979744707,33.34444233782122,46.943413685009105,676.0487705394581
1594,10,3,1,2,1,1,0,1,2018,13.037700631474129,9.981578782713708,37.46,46.9434192004261,676.0244516059279
1595,10,3,2,2,1,1,0,1,2018,13.037700631474129,9.981578782713708,27.079999999999995,46.9434192004261,676.0244516059279
1596,10,5,0,2,1,1,0,1,2018,21.94917530112989,9.98157979744707,32.800000000000004,46.943413685009105,676.0487705394581
1597,10,1,0,2,1,1,0,1,2018,19.50725453,9.98157979744707,29.427777888824345,46.943413685009105,676.0487705394581
