,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Adult Obesity,Income | Poverty in Children,Physical Activity | Adult Physical Inactivity,"Respiratory Infection | COVID-19 Vaccination, Seniors",Substance Use | Teen Marijuana
5200,3,0,0,1,0,1,1,1,2010,32.8,35.89121956,28.4,84.69885483137223,21.3
5201,3,0,1,1,0,1,1,1,2010,31.515328746527246,34.56135344398121,28.419174197813025,84.69883515083265,18.08409128600579
5202,3,0,2,1,0,1,1,1,2010,31.515328746527246,34.56135344398121,28.419174197813025,84.69883515083265,23.01510756657491
5203,3,4,0,1,0,1,1,1,2010,31.515328746527246,33.25809669,28.419174197813025,84.69883515083265,6.854852066334802
5204,3,4,1,1,0,1,1,1,2010,31.48995323606146,31.078872351948263,28.4195529367752,84.69881620293827,14.615410160729342
5205,3,4,2,1,0,1,1,1,2010,31.48995323606146,31.078872351948263,28.4195529367752,84.69881620293827,14.349701635527538
5206,3,2,0,1,0,1,1,1,2010,31.515328746527246,40.55553976,28.419174197813025,84.69883515083265,21.697871715495744
5207,3,2,1,1,0,1,1,1,2010,31.48995323606146,38.8816517216592,28.4195529367752,84.69881620293827,21.79997919401212
5208,3,2,2,1,0,1,1,1,2010,31.48995323606146,38.8816517216592,28.4195529367752,84.69881620293827,23.725778166041817
5209,3,3,0,1,0,1,1,1,2010,31.515328746527246,49.44387635,28.419174197813025,84.69883515083265,21.021682288738102
5210,3,3,1,1,0,1,1,1,2010,31.48995323606146,47.20534779840403,28.4195529367752,84.69881620293827,21.748569466356575
5211,3,3,2,1,0,1,1,1,2010,31.48995323606146,47.20534779840403,28.4195529367752,84.69881620293827,23.232222188944828
5212,3,5,0,1,0,1,1,1,2010,31.515328746527246,36.25,28.419174197813025,84.69883515083265,21.369381552069214
5213,3,1,0,1,0,1,1,1,2010,31.515328746527246,15.39654206,28.419174197813025,84.69883515083265,21.919107161220936
5214,3,1,1,1,0,1,1,1,2010,31.48995323606146,15.866637020278914,28.4195529367752,84.69881620293827,21.46782562005983
5215,3,1,2,1,0,1,1,1,2010,31.48995323606146,15.866637020278914,28.4195529367752,84.69881620293827,22.95147834264808
5216,3,0,0,1,0,1,1,1,2011,32.8,35.89121956,28.4,84.69948462227359,21.3
5217,3,0,1,1,0,1,1,1,2011,32.8,35.92037498309543,28.4,84.69943438015686,17.7
