,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Birth Control | Teen Birth Control,Dietary Quality | Teen Soda,Lead Poisoning | Child Lead Testing,Physical Activity | Teen Physical Inactivity,School Violence | Weapons in School
1175,23,2,1,0,0,0,0,1,2018,27.7,21.649652143876782,27.213847279919772,27.540000000000003,11.46
1176,23,2,2,0,0,0,0,1,2018,27.799999999999997,21.77849364526701,27.213847279919772,22.580000000000002,17.540000000000003
1177,23,3,0,0,0,0,0,1,2018,21.83381879474083,18.191403490793356,34.0841864889499,25.318181818181817,14.19090909090909
1178,23,3,1,0,0,0,0,1,2018,25.46912579993104,20.390906681236203,27.213847279919772,27.020000000000007,11.980000000000002
1179,23,3,2,0,0,0,0,1,2018,20.03182399434168,21.175805350925383,27.213847279919772,22.060000000000006,18.060000000000006
1180,23,5,0,0,0,0,0,1,2018,25.35995111150887,21.359981826791255,34.0841864889499,24.560006143056476,14.700011518230893
1181,23,1,0,0,0,0,0,1,2018,10.353434662014932,16.14600125269821,34.0841864889499,21.36861602747644,18.09890605847938
1182,23,1,1,0,0,0,0,1,2018,25.46912579993104,24.55547948921891,27.213847279919772,29.620224758913576,13.280000000000001
1183,23,1,2,0,0,0,0,1,2018,20.03182399434168,23.93908283361901,27.213847279919772,21.60207847879287,19.360000000000003
1184,23,0,0,0,0,0,0,1,2019,33.0,24.2,25.65607494,25.9,14.5
1185,23,0,1,0,0,0,0,1,2019,29.9,20.02583354143238,34.0841864889499,30.5,9.2
1186,23,0,2,0,0,0,0,1,2019,36.6,20.473234772033585,34.0841864889499,20.7,19.6
1187,23,4,0,0,0,0,0,1,2019,28.00005247194074,6.212137822919333,34.0841864889499,22.553774364294114,6.639621973462191
1188,23,4,1,0,0,0,0,1,2019,25.548100068968875,20.748191161637006,27.21384727991977,30.282488383034007,10.609852204450908
1189,23,4,2,0,0,0,0,1,2019,21.28356880340452,20.708209094424593,27.21384727991977,21.518792725279734,20.478984991391837
1190,23,2,0,0,0,0,0,1,2019,34.9,20.77518668075693,34.0841864889499,28.9,14.0
1191,23,2,1,0,0,0,0,1,2019,29.06272276777587,21.5683709168308,27.21384727991977,28.061336927889947,11.180342383971817
